Luganda,English
EBIGAMBO BY’EKISAWO MU LUGANDA,LUGANDA MEDICAL AND ARTISANS’ TERMINOLOGIES
ENNYANJULA,INTRODUCTION
"EMPULIZGANYA kikulu nnyo mu mpeereza y’emirimu, naddala mu bujjanjabi","COMMUNICATION is very vital in services delivery, especially in the medical sector."
Aboogezi b’Olulimi Oluganda bangi balina amannya Amaganda agayitibwa endwadde ezitali zimu kyokka nga gakaluubirira abajjanjabi bangi ne batamanya bulwadde buba bwogerwako ate nga n’abalwadde bakaluubirirwa okugazza mu lulimi Olungereza oba olusawo abajjanjabi basobole okutegeera.,Native Luganda speakers have names associated with different diseases but many medical practitioners cannot relate these terms to the medical terminologies for these diseases and this usually may lead to misunderstandings between patients and medical services providers
"Endwadde endala abasawo bazoogerako mu lulimi lw’ekisawo, abalwadde lwe batategeera so ng’endwadde ezo zennyini zirina amannya mu lulimi Oluganda era nga ssinga omusawo g’akozesezza omulwadde yandyongedde okutegeera ekimuluma.",The vice versa is also true where medical services providers use terminologies for diseases which patients fail to relate to whereas they have equivalents in their mother tongue which they would relate to and therefore have a better understanding of their medical conditions.
"Okutumbula empuliziganya wakati w’abalwadde n’abasawo, akakiiko ka Luganda/ Lusoga/ Lugwere Vehicular Cross-border Language Commission kye kavudde kawandiika ekitabo ekinnyonnyola ebigambo by’ekisawo mu lulimi Oluganda n’ekigendererwa ky’okwanguyiza abalwadde, abajjanjabi n’abayiga obujjanjabi okwongera okutegeera amannya g’endwadde ezitali zimu mu Luganda era n’ebizikwatako mu bufunze","By compiling medical terminologies and their Luganda equivalents and meanings, the Luganda/ Lusoga/ Lugwere Vehicular Cross-border Language Commission aims at easing communication between patients and medical service providers, and also supporting teaching and learning in the medical field for the students and teachers in the Luganda speaking areas."
"Ebigambo bino bifuniddwa okuva mu boogezi b’olulimi, okuva mu mawulire ate ennyinnyonnyola yaabyo n’eggyibwa mu basawo abakugu n’abajjanjabi.","The words are a compilation from Luganda speakers, from health news in the media and from medical practitioners who have also given manings to these medical terminologies."
EBISOOKERWAKO,FOREWORD
"BAJJAJJAFFE baamanya nti emmere n'ebimera ebitwetoolodde ddagala. Baamanya nga bwe balya obulungi, ne bafuna amazzi amalungi, ne bafuna empewo ennungi, ng’omuntu aba mulamu, era awona obulwadde obuba bumuzinze. Enzijanjaba eyaffe ey'edda twagidibya nga tufunye abagenyi abaatukyayisa ebyaffe. Kale omulimu ogukomyawo okumanya amannya g'endwadde n'eddagala bye twali tumanyi kirungi nnyo. Twafuna ebigambo ebitaali bya Luganda naye nga bituyigiriza enzijanjaba ey'omulembe n'okukola emirimu egy'enjawulo mu Luganda. Kale ebigambo ebyo bwe tubiyiga mu Luganda kijja kwongera okufuna obukugu obw'emirundi ebiri, enzijanjaba engwira n'eyaffe ey'edda. Kirungi abantu ab'enjawulo nabo bongere okunoonyereza mu mirimu egy'enjawulo, tubiwe bannaffe abatandise omulimu guno, tusobole okuba abakugu mu bintu bingi, kyokka nga tusigadde tuli Baganda mu buli nsonga.","OUR ancestors knew that food and plants were medicine. They knew that by eating properly, getting fresh and clean water, and getting fresh air, one gets good health and can fight off invading disease. Our old ways of treating the sick as well as doing different jobs were abandoned when foreigners came and made us hate our culture telling us that it was primitive. Now this great job of bringing back that old Kiganda knowledge of the names of diseases and the drugs that cured them is great. We got foreign words teaching us modern medicine and doing different jobs. When we get our Luganda words relating to and explaining the foreign words, this is a big step to making us experts both in foreign and our old ways of work. It is of utmost importance that different people do research in those terminologies in Luganda and pass them to the group that started this great job of relating the old traditional knowledge with the modern as a way of helping us become experts in different jobs while we remain Baganda."
"Omusawo alongoosa, akola mu Kampala Hospital",Surgeon at Kampala Hospital
